device_id,n_visits,avg_wh_per_minute_recent,avg_wh_per_minute_early,avg_charge_gained_pct_recent,std_wh_per_minute_recent,pct_change_in_rate,anomaly_flag,maintenance_alert,anomaly_score,household_id,device_type
DEV0083,48.0,0.14784141500534245,0.1903747858633776,37.7,0.01154349602706132,-0.22341913959424867,-1,NEEDS CHECK,-0.11857521990085407,HH056,rechargeable_battery
DEV0149,64.0,0.20536447122334622,0.19385165874946897,51.0,0.007125869322277675,0.05938980635061908,-1,NEEDS CHECK,-0.11231568186094121,HH103,solar_lantern
DEV0094,39.0,0.2198743441797629,0.17029614286646103,75.52000000000001,0.014657047745222003,0.29112932611855447,-1,NEEDS CHECK,-0.094268319381826,HH063,solar_lantern
DEV0069,28.0,0.14941790791241302,0.16130376412023598,46.4,0.010534059836866397,-0.0736861676641546,-1,NEEDS CHECK,-0.08559415927646119,HH047,rechargeable_battery
DEV0181,82.0,0.16401354792656891,0.21608578438541604,38.879999999999995,0.014969911689719182,-0.24097946381317603,-1,NEEDS CHECK,-0.08520761887020922,HH124,rechargeable_battery
DEV0113,44.0,0.20695067980157705,0.16371279846763884,83.22,0.015566753593746738,0.26410813167111713,-1,NEEDS CHECK,-0.06694607851005896,HH078,solar_lantern
DEV0102,86.0,0.1860246223068578,0.19239143331751304,36.42,0.015326316055100268,-0.03309300679800952,-1,NEEDS CHECK,-0.04967592439672641,HH070,solar_lantern
DEV0184,72.0,0.1957513711174313,0.16526305059824642,42.64,0.023346055233154642,0.1844835878850005,-1,NEEDS CHECK,-0.04885514107579714,HH126,solar_lantern
DEV0202,12.0,0.17256383067952857,0.19745001717231908,38.56,0.03175799118791145,-0.12603790492999437,-1,NEEDS CHECK,-0.0324945154539924,HH137,solar_lantern
DEV0182,38.0,0.21687350949936796,0.19514907777342919,76.8,0.01213561992634994,0.11132223617864666,-1,NEEDS CHECK,-0.032452857308749916,HH125,rechargeable_battery
DEV0017,40.0,0.1501116569840999,0.19475409115119788,72.1,0.017134083510396293,-0.22922462836706062,-1,NEEDS CHECK,-0.029219039476790498,HH013,solar_lantern
DEV0086,91.0,0.15103639577957195,0.16956756174777574,74.0,0.010031847569259664,-0.10928485246351584,-1,NEEDS CHECK,-0.023403231530169877,HH058,solar_lantern
DEV0164,50.0,0.18237662472169705,0.18815518277472892,40.160000000000004,0.04031545399473083,-0.030711660278581444,-1,NEEDS CHECK,-0.01570116542370359,HH113,rechargeable_battery
DEV0016,92.0,0.20157192358903475,0.1774720771697981,50.70000000000001,0.022408763727435353,0.13579514481130964,-1,NEEDS CHECK,-0.014044864206600782,HH012,solar_lantern
DEV0166,33.0,0.19084648208136584,0.20509796262411548,43.14,0.03923411068672188,-0.0694862121515484,-1,NEEDS CHECK,-0.01189392452206317,HH114,solar_lantern
DEV0010,12.0,0.1747165387501744,0.20186950618942645,46.86,0.019946432372535974,-0.13450752395348295,-1,NEEDS CHECK,-0.0029876491378596493,HH008,rechargeable_battery
DEV0098,74.0,0.18539403544524968,0.20566252874211793,42.0,0.038485692571679345,-0.0985521933472047,-1,NEEDS CHECK,-0.00024126560654813556,HH066,solar_lantern
DEV0005,92.0,0.1589015135506696,0.20974463673294697,75.25999999999999,0.02125557828865496,-0.2424048784952358,1,normal,0.00036189840982225885,HH004,solar_lantern
DEV0055,44.0,0.15608970626281393,0.18588687538806975,80.64,0.03339449756492085,-0.16029732633382143,1,normal,0.004105626880941737,HH038,solar_lantern
